"Gene"	"C_0_vs_1_pval"	"C_0_vs_1_logFC"	"C_0_vs_1_pct1"	"C_0_vs_1_pct2"	"C_0_vs_1_adjpval"
"Aif1"	2.52023631546376e-122	0.554980998619227	0.82	0.579	3.1714653793796e-118
"Psap"	3.06846457681289e-122	-0.639683972071783	0.999	0.999	3.86135582346134e-118
"Btg1"	5.46356883189316e-122	-0.641618239134193	0.941	0.97	6.87535501805436e-118
"Ms4a6b"	5.99393337053292e-122	0.54007461563299	0.792	0.558	7.54276575347863e-118
"Lrp1"	4.92391992594012e-121	0.613692894890343	0.858	0.698	6.19626083480305e-117
"Ncf1"	1.49223459417627e-120	0.495943510790969	0.648	0.378	1.87782801331142e-116
"Slc7a2"	2.7629806032285e-119	-0.615547941492675	0.15	0.383	3.47693479110275e-115
"Pla2g7"	1.06701779070233e-118	-0.619248474378895	0.838	0.91	1.34273518781981e-114
"H2-DMa"	1.14303150946479e-118	0.534184813431264	0.901	0.725	1.4383908515105e-114
"Hcar2"	1.33290737777075e-118	-0.777737398863562	0.178	0.429	1.67733064418671e-114
"Gna13"	2.27963278170838e-117	-0.555366452739382	0.639	0.78	2.86868989250182e-113
"Rab3il1"	4.44026295135103e-117	0.407183114613427	0.337	0.1	5.58762689798014e-113
"Ms4a6c"	7.14417348492633e-117	0.5342132053579	0.922	0.754	8.99022791343129e-113
"Arhgdib"	1.2768614113754e-116	0.41927841349185	0.942	0.773	1.60680240007481e-112
"Ntpcr"	1.32413432768722e-116	0.609243130996668	0.521	0.278	1.6662906379616e-112
"Prdx1"	1.8628125240599e-116	-1.08288211258573	0.974	0.971	2.34416328027698e-112
"Atpif1"	3.11850277516493e-116	0.50645050682128	0.891	0.729	3.92432389226755e-112
"Apoe"	3.86434726176846e-116	1.06601023424746	0.915	0.787	4.86289459420943e-112
"H2-K1"	6.77450538847937e-116	-0.455640730479644	1	1	8.52503758086243e-112
"Mrc1"	2.82300029038354e-115	0.781491568476253	0.444	0.19	3.55246356541865e-111
"Pfkfb3"	3.57721306361154e-115	-0.520389380678546	0.202	0.443	4.50156491924876e-111
"Arrb2"	3.62612817982505e-115	0.483843223268943	0.869	0.693	4.56311970149184e-111
"Clec4e"	4.9330322861504e-115	-0.899160284153606	0.489	0.694	6.20772782889167e-111
"Tmem189"	5.90269269215473e-115	-0.526100818246833	0.619	0.794	7.42794848380752e-111
"Cotl1"	8.14285868986635e-115	0.522449868900162	0.875	0.696	1.02469733753278e-110
"Sdc1"	1.2966537281088e-114	-0.530503794847836	0.065	0.256	1.63170905145212e-110
"Ddit4"	1.57075095029468e-114	-0.829993767603271	0.18	0.408	1.97663299585082e-110
"Emp3"	1.20994634377327e-112	0.464355746887691	0.962	0.839	1.52259647900429e-108
"mt-Co1"	1.45351155847199e-112	0.47406305023129	1	0.995	1.82909894518116e-108
"Atp1a1"	2.83829514233291e-112	0.45331884062258	0.746	0.504	3.57171060711174e-108
"Higd1a"	7.46979110645393e-112	-0.570215358483451	0.67	0.805	9.39998512836163e-108
"Erp29"	1.91238137195753e-111	0.449855022708108	0.922	0.8	2.40654071847135e-107
"Pkm"	3.10168405474884e-111	-0.400300387878775	0.999	1	3.90315921449595e-107
"Ptafr"	1.15241040622268e-110	-0.513201889531031	0.228	0.469	1.45019325519062e-106
"Plpp3"	1.19321344897596e-110	-0.299565147471788	0.024	0.175	1.50153980419134e-106
"Tmem37"	2.55420019169573e-110	0.528388122918189	0.486	0.228	3.21420552122991e-106
"Card19"	4.25169127049194e-110	-0.505415890381675	0.939	0.978	5.35032829478706e-106
"F10"	1.01926252752831e-109	-0.635866727450961	0.259	0.519	1.28263996464163e-105
"Pgk1"	1.72122088479385e-109	-0.52335268289536	0.966	0.988	2.16598436142459e-105
"Mt2"	1.90825798708069e-109	-1.07506092040931	0.244	0.468	2.40135185094234e-105
"P4hb"	2.16990680455264e-109	-0.526492241482886	0.981	0.992	2.73061072284904e-105
"Rps8"	1.73472837570838e-108	0.425009678293906	1	0.998	2.18298218799143e-104
"Nrros"	3.98666376760601e-107	0.501509674388543	0.719	0.491	5.0168176851554e-103
"Clec4a2"	6.9684278172589e-107	0.508565695769173	0.663	0.417	8.76906956523859e-103
"Inpp5d"	9.33353640000084e-107	0.41072526493917	0.475	0.225	1.17453222057611e-102
"Dstn"	2.32178023646438e-106	-0.494695087935666	0.612	0.777	2.92172824956678e-102
"H2-Q6"	3.74485726921694e-106	-0.518215138796688	0.779	0.896	4.7125283875826e-102
"Cd1d1"	4.86450682001804e-106	-0.351120680270378	0.039	0.2	6.1214953823107e-102
